label,n_pos,AUROC,PR_AUC,F1,precision,recall
Atelectasis,757,0.5848569307104069,0.16023590175027896,0.24767417820963408,0.14681372549019608,0.7912813738441216
Cardiomegaly,267,0.626602604933263,0.06299970114568273,0.10598726114649681,0.056861673045379986,0.7790262172284644
Effusion,1112,0.6567467384521188,0.2715449047547616,0.3641456582633053,0.2341739577972208,0.8183453237410072
Infiltration,1411,0.6430760921990295,0.3344844761152064,0.4169701383831027,0.28056848811565793,0.8114812189936216
Mass,434,0.4945970929491266,0.06961505323813383,0.12712056095905905,0.07047905693503888,0.6474654377880185
Nodule,409,0.5485389765861044,0.07754862730099574,0.1396196926282886,0.07813411078717201,0.6552567237163814
Pneumonia,129,0.5749492644835541,0.031334359271940976,0.04685990338164251,0.02418349538768387,0.751937984496124
Pneumothorax,628,0.6320977254079896,0.1615859216770979,0.21986286219862863,0.12766503981505267,0.7914012738853503
Consolidation,433,0.6657445247086614,0.10751634573036797,0.18331668331668333,0.10277233267992159,0.8475750577367206
Edema,201,0.7233495395929476,0.07398028881480388,0.10460251046025104,0.05564387917329094,0.8706467661691543
Emphysema,234,0.5681114757597587,0.04629705644830927,0.08556701030927835,0.04552934722984092,0.7094017094017094
Fibrosis,127,0.7215912671225989,0.050093100192642764,0.07648848326814428,0.040478380864765406,0.6929133858267716
Pleural_Thickening,263,0.5962251570918147,0.05766103412835094,0.103954802259887,0.05614891669209643,0.6996197718631179
Hernia,15,0.7137956001113896,0.007726208483749738,0.00795837159473523,0.003997539975399754,0.8666666666666667
