label,n_pos,AUROC,PR_AUC,F1,precision,recall
Atelectasis,757,0.7198234495714358,0.27354751947838174,0.3058339758416859,0.18985322271857052,0.7859973579920739
Cardiomegaly,267,0.8580277400502119,0.3340504497978236,0.2014585232452142,0.11468604047742605,0.8277153558052435
Effusion,1112,0.7745835859953607,0.41788320988415883,0.42832394976180166,0.2820878494010268,0.8893884892086331
Infiltration,1411,0.6950996273558979,0.38577249964570015,0.4314668498797664,0.2847426887327137,0.890148830616584
Mass,434,0.6619013397669524,0.13239001219260005,0.18279892118669464,0.10506372717878057,0.7027649769585254
Nodule,409,0.6400585292727266,0.11404628466124217,0.16204537270435723,0.09501689189189189,0.5501222493887531
Pneumonia,129,0.6689469591039389,0.041723807207863436,0.06017925736235595,0.03138564273789649,0.7286821705426356
Pneumothorax,628,0.7897352573618337,0.29894451660894666,0.3106218387384707,0.19099890230515917,0.8312101910828026
Consolidation,433,0.6815758152524507,0.12226017630413988,0.18428571428571427,0.10273427130342448,0.8937644341801386
Edema,201,0.7905343089690365,0.10163375807006218,0.12998405103668262,0.07065452969224101,0.8109452736318408
Emphysema,234,0.7532936963217921,0.11415959904716882,0.15159171298635674,0.08595988538681948,0.6410256410256411
Fibrosis,127,0.781613710681874,0.07629046489178508,0.1038107752956636,0.056630824372759854,0.6220472440944882
Pleural_Thickening,263,0.6804824397165753,0.08586135173835041,0.12167070217917676,0.06609667872410391,0.7642585551330798
Hernia,15,0.84208298524088,0.03728784457466367,0.03404255319148936,0.01818181818181818,0.26666666666666666
