label,n_pos,AUROC,PR_AUC,F1,precision,recall
Atelectasis,757,0.5316368229287789,0.1363949927359424,0.22363932967521874,0.1259605746742399,0.9960369881109643
Cardiomegaly,267,0.45199061089911813,0.0389202792324658,0.0,0.0,0.0
Effusion,1112,0.5521509142931154,0.2154139289089132,0.3129309131841846,0.18548790658882403,1.0
Infiltration,1411,0.5220528583512263,0.24418627529430778,0.0,0.0,0.0
Mass,434,0.5018034528266583,0.07609008426986225,0.13357166070848228,0.07185314685314685,0.9470046082949308
Nodule,409,0.38936003942766906,0.05216493408942563,0.12763301607114994,0.06816666666666667,1.0
Pneumonia,129,0.5174375692373102,0.02251481129729532,0.03476245654692932,0.020435967302452316,0.11627906976744186
Pneumothorax,628,0.5963774478186017,0.14663061365684227,0.18949909474954738,0.10466666666666667,1.0
Consolidation,433,0.556285575962939,0.08328253022763174,0.1113881961762261,0.08701298701298701,0.15473441108545036
Edema,201,0.6180543222840789,0.05132125465412436,0.07566255310540158,0.03943483762125685,0.9303482587064676
Emphysema,234,0.5217621868246218,0.03966826496181912,0.0,0.0,0.0
Fibrosis,127,0.5968511981294352,0.030431712498739664,0.04250214224507284,0.021723896285914507,0.9763779527559056
Pleural_Thickening,263,0.5088671295857521,0.045856770718061886,0.0,0.0,0.0
Hernia,15,0.45650793650793653,0.005193053696460696,0.0,0.0,0.0
